1. die Tragfläche | aerofoil/airfoil/foil | IMPROVE: wing/airfoil - This most often means an aircraft wing; "foil" alone is misleading.
43. die Armbanduhr | watch/wristwatch | OK
44. die Auffahrt | Ascension/driveway/slip road | OK
45. die Verdachtsdiagnose | suspicion diagnosis | WRONG: suspected diagnosis - Verdachtsdiagnose means a provisional suspected diagnosis.
46. die Verdauungsstörung | indigestion/digestive disorder | OK
47. die Verfahrenskosten | procedural costs/legal costs | OK
48. der Verfassungsschutzbericht | Federal Office for the Protection of the Constitution report | OK
49. der Vergleichswert | comparative value/reference value/standard value | OK
50. das Vergrößern | enlarging | OK
51. die Verkehrsverhältnisse | nit | WRONG: traffic conditions - The current gloss is unrelated.
52. die Verklärung | transfiguration | OK
53. die Verkörperung | embodiment/impersonation/personification | OK
54. der Verräter | traitor | OK
55. der Versammlungsraum | assembly region | WRONG: meeting room/assembly room - Raum means room here, not region.
56. das Verschlüsselungsverfahren | encryption method/encryption process | OK
57. die Versionierung | versioning | OK
58. die Versorgungssituation | supply situation/care situation | OK
59. die Verstrickung | entanglement | OK
60. der Aufprall | impact | OK
61. der Vertrauensmann | liaison officer/trusted contact | OK
62. die Vertriebsgesellschaft | sales company | OK
63. der Verwaltungssitz | administrative centre/centre of administration | OK
64. die Verwaltungswissenschaft | administration academic discipline | IMPROVE: administrative science/public administration - The current gloss is awkward and not a useful learner translation.
65. die Verzweigung | branching/ramification | OK
66. der Vibrator | vibrator | OK
67. der Videofilm | video film | OK
68. die Videotelefonie | video telephony | OK
69. die Videothek | video rental shop | OK
70. die Viehhaltung | livestock keeping | OK
71. der Vierjährige | four-year-old | OK
72. der Vietnamese | Vietnamese | OK
73. die Vignette | vignette | OK
74. der Vikar | vicar | OK
75. die Virtuosität | virtuosity | OK
76. die Viskose | viscose | OK
77. die Viskosität | viscosity | OK
78. die Vogtei | bailiwick | OK
79. die Volksbildung | public education | OK
80. der Aufsichtsratsvorsitzende | chairman of the supervisory board | OK
81. der Vorbescheid | answer | WRONG: preliminary decision/advance ruling - Vorbescheid is an advance administrative decision, not an answer.
82. der Vorbesitzer | possessor | WRONG: previous owner - Besitzer here means owner/holder in context, not just possessor.
83. der Vordersitz | domicile | WRONG: front seat - Vordersitz means the seat at the front, not domicile.
84. der Vorhof | atrium/forecourt | OK
85. die Vorleserin | reader | OK
86. das Vorrecht | law | WRONG: privilege/prerogative - Vorrecht means a special right, not law in general.
87. die Vorschule | infant school/nursery school/pre-school | OK
88. die Vorstandssitzung | board meeting | OK
89. der Vortragsabend | lecture evening | OK
90. das Vorzeigeprojekt | project | WRONG: flagship project - Vorzeigeprojekt means a showcase or flagship project.
91. die Vorzugsaktie | preferred stock | OK
92. die Wachtel | quail | OK
93. der Waffenhersteller | weapons manufacturer | OK
94. der Waffenschein | arm appearance | WRONG: weapons license/firearms permit - Waffenschein is a permit, not an appearance.
95. der Wagner | cartwright/waggoner/wagoner | OK
96. die Wahlentscheidung | adoption decision | WRONG: voting decision/electoral choice - Wahl means election or choice here, not adoption.
97. der Wahlerfolg | adoption success | WRONG: electoral success - Wahl means election here, not adoption.
98. der Wahlsonntag | adoption Sunday | WRONG: election Sunday - Wahlsonntag is election Sunday.
99. der Waldkauz | tawny owl | OK
100. der Waldspaziergang | forest walk | OK
101. der Wallfahrer | pilgrim | OK
102. die Wandelhalle | foyer/lobby | OK
103. die Wandfläche | wall surface | OK
104. der Wandlungsprozess | conversion lawsuit | WRONG: transformation process/change process - Wandlung means transformation, not lawsuit.
105. die Warmmiete | heating/including/rent | OK
106. das Warnzeichen | warning sign | OK
107. die Wäschespinne | rotary clothes dryer | IMPROVE: rotary clothesline - This is normally a rotary clothesline, not a dryer appliance.
108. die Waschküche | launderette/laundry room | OK
109. der Wasserbau | hydraulic engineering | OK
110. der Wasserbedarf | water need | IMPROVE: water demand/water requirement - This is the natural term for Bedarf in this compound.
111. der Wasserbüffel | water buffalo | OK
112. die Wasserflasche | water bottle | OK
113. der Wassergehalt | water content | OK
114. der Wassermann | Aquarian/Aquarius | OK
115. die Webadresse | web address | OK
116. das Webhosting | web hosting | OK
117. das Wechselgeld | change | OK
118. die Weihnachtsbäckerei | Christmas baking | OK
119. die Weinverkostung | grape tasting | WRONG: wine tasting - Wein means wine, not grapes.
120. die Weißtanne | silver fir | OK
121. der Wellengang | swell/sea state | OK
122. der Weltfußballer | world footballer (of the year) | OK
123. die Weltkugel | Earth ball | IMPROVE: globe - The current literal gloss is unnatural for Weltkugel.
124. das Weltwunder | wonder of the world | OK
125. das Werbeplakat | poster | IMPROVE: advertising poster - The current gloss omits the advertising part.
126. der Werfer | bowler/pitcher/thrower | OK
127. die Werkhalle | act hall | WRONG: workshop/factory hall - Werkhalle is an industrial hall, not an act hall.
128. die Werkstoffprüfung | material audit | WRONG: materials testing - The final element means testing here, not audit.
129. die Wespenart | wasp species | OK
130. das Westufer | vest bank | WRONG: west bank/western shore - Westufer means a western bank or shore.
131. das Wider | the cons (in 'Für und Wider') | OK
132. die Wiedervernässung | rehydration/rewetting | OK
133. die Wikidata | Wikidata | OK
134. das Wimmelbild | idea | WRONG: hidden-object picture - Wimmelbild is a crowded hidden-object picture, not an idea.
135. das Windsurfen | windsurfing | OK
136. der Wintereinbruch | onset of winter | OK
137. das Ausmaß | extent/scale | OK
138. der Wipfel | treetop | OK
139. die Umweltorganisation | environment organisation | OK
140. die Wirtschaftsspionage | economic espionage | OK
141. der Wissenschaftspark | academic discipline park | WRONG: science park - Wissenschaft means science/academia here, not an academic discipline park.
142. der Wochenbeginn | start of the week | OK
143. das Wohnungsamt | housing office/housing authority | OK
144. die Woiwodschaft | beam | WRONG: voivodeship - Woiwodschaft is an administrative region, not a beam.
145. die Wortart | part of speech | OK
146. das Wortgefecht | debate/polemic/verbal dispute | OK
147. die Wortmarke | wordmark | OK
148. die Wucherung | growth/proliferation | OK
149. das Wurzelgemüse | root vegetable | OK
150. die Zahlungsbedingung | term of payment | OK
151. der Zahlungsempfänger | payee/recipient of a payment | OK
152. die Zahlungsinformation | payment information | OK
153. der Zahnbelag | dental enamel/dental plaque | IMPROVE: dental plaque - Zahnbelag means plaque; dental enamel is Zahnschmelz.
154. die Zahnfleischentzündung | gingivitis | OK
155. der Zauberspruch | incantation/spell | OK
156. die Zeitkarte | time billett | WRONG: season ticket/travel pass - Zeitkarte is a time-based ticket, not a billet.
157. der Zeitraffer | time-lapse | OK
158. die Zeitschaltuhr | clock timer/time switch/timer | OK
159. der Unterpunkt | Jack dot | WRONG: subitem/subpoint - Unterpunkt means a subordinate point, not Jack dot.
160. die Zellmembran | cell membrane | OK
161. der Untersuchungsausschuss | investigating committee | OK
162. die Zentralregierung | central government | OK
163. die Zentralverriegelung | central office fastener | WRONG: central locking - Verriegelung means locking, not an office fastener.
164. die Zersetzung | decomposition/subversion | OK
165. der Zimmerer | carpenter | OK
166. die Zimmertür | room door | OK
167. der Zinseszins | compound interest | OK
168. der Zipfel | corner/cusp/dip | OK
169. der Zollstock | folding rule | OK
170. die Zuarbeit | supporting work | OK
171. das Zuckerrohr | sugar cane/sugarcane | OK
172. die Zuckerrübe | sugar beet | OK
173. die Zufahrtsstraße | access road | OK
174. die Zumutbarkeit | reasonableness | OK
175. der Auftragseingang | order inflow/order receipt | OK
176. das Zuwanderungsgesetz | immigration act | OK
177. das Zwerchfell | diaphragm | OK
178. die Zwetschge | bullace/damson/plum | OK
179. der Zwinger | courtyard/kennels | OK
180. die Zwischenstation | station | IMPROVE: stopover/intermediate stop - Station alone is too broad for Zwischenstation.
181. der Zynismus | cynicism/cynism | OK
182. das Aa | poo | OK
183. das Abbaugebiet | decomposition area | WRONG: mining area - Abbau means extraction/mining here, not decomposition.
184. das Abbauprodukt | decomposition product/degradation product | OK
185. das Abfallaufkommen | waste generation | OK
186. die Abfallmenge | amount of waste | OK
187. die Abgasanlage | exhaust system/exhaust-gas system | OK
188. die Abgeltungsteuer | withholding tax/flat-rate capital-gains tax | OK
189. die Ableistung | performance/completion of service or duties | OK
190. die Ablösesumme | key money/one-off payment/transfer fee | OK
191. die Abonnentin | subscriber | OK
192. die Abscheidung | deposition/precipitation/separation | OK
193. der Abschiedsbrief | farewell letter/suicide note | OK
194. das Abspielgerät | player | OK
195. die Abstellmöglichkeit | chance | WRONG: storage option/parking option - This is a place or option to put something, not chance in general.
196. die Abtrennung | separation/partition | OK
197. die Abwärtsbewegung | descent | OK
198. die Abwrackprämie | cash for clunkers/scrap bonus/scrappage premium | OK
199. die Abzocke | rip-off | OK
200. der Ackerboden | arable land | OK
201. das Adoptivkind | adopted child/adoptive child | OK
202. der Adventsmarkt | Advent market | OK
203. der Affekt | affect | OK
204. die Affenart | monkey species | OK
205. das Aflatoxin | aflatoxin | OK
206. die Ägide | aegis/egis | OK
207. die Aktenlage | case-file situation/state of the files | OK
208. das Alarmsignal | alarm signal | OK
209. der Alkoholgenuss | alcohol enjoyment | IMPROVE: alcohol consumption - Genuss in this compound means consumption, not enjoyment.
210. der Alkoholgeruch | alcohol odor | OK
211. das Alkoholverbot | alcohol prohibition | OK
212. der Alleebaum | avenue tree | OK
213. die Allgemeinanästhesie | anaesthesia | IMPROVE: general anesthesia - Allgemein- specifies general anesthesia.
214. die Alltagserfahrung | common experience/everyday experience | OK
215. der Almanach | almanac | OK
216. das Alpenvorland | country | WRONG: Alpine foothills - Alpenvorland means the foothills before the Alps, not country.
217. der Altarraum | chancel/presbytery | OK
218. der Auftrieb | boom/buoyant force/floatation | OK
219. der Altbestand | old stock/existing stock | OK
220. der Alteingesessene | long-time resident | OK
221. die Altersmedizin | geriatrics | OK
222. das Altglas | waste glass | OK
223. das Altkleid | used clothing/old clothes | OK
224. das Altöl | used oil/waste oil | OK
225. das Amazonasgebiet | area | WRONG: Amazon region/Amazon basin - Gebiet means region here; the compound identifies the Amazon region.
226. die Ammer | bunting/sparrow | OK
227. der Anarchismus | anarchism | OK
228. das Anfangsstadium | initial stage | OK
229. der Angeschuldigte | accused/defendant | OK
230. die Anhängerschaft | follower beam | WRONG: following/supporters - This means a body of followers, not a beam.
231. die Anhäufung | accumulation/agglomeration/pile | OK
232. der Anmarsch | advance | OK
233. der Anstand | decency | OK
234. der Anthrazit | anthracite/hard coal | OK
235. der Anthropologe | anthropologist | OK
236. die Antimaterie | antimatter | OK
237. die Antrittsvorlesung | inaugural lecture | OK
238. das Antwortschreiben | answer letter | OK
239. die Antwortzeit | answer time | OK
240. der Anus | anus | OK
241. die Anwesenheitsliste | presence list | WRONG: attendance list - Anwesenheit means attendance/presence; list is the useful gloss.
242. der Anzeiger | indicator/gazette | OK
243. die Anzucht | cultivation/growing/raising | OK
244. die Ausgründung | end establishment | WRONG: spin-off - This is a corporate or institutional spin-off.
245. der Laser | laser | OK
246. die Apparatur | apparatus/equipment/gadget | OK
247. die Apsis | apse/apsis | OK
248. die Arbeiterklasse | working class | OK
249. die Arbeitnehmerfreizügigkeit | freedom of movement for workers | OK
250. der Arbeitsmigrant | business migrant | WRONG: labor migrant/migrant worker - Arbeitsmigrant means a migrant worker, not a business migrant.
251. die Arbeitswoche | working week/workweek | OK
252. der Architektenwettbewerb | architecture competition | OK
253. das Archivmaterial | archive material | OK
254. der Argentinier | Argentine/Argentinean/Argentinian | OK
255. das Armutszeugnis | evidence of incapacity/evidence of incompetence | IMPROVE: damning indictment/sign of incompetence - Armutszeugnis is an idiom, not literal evidence.
256. der Artenschwund | species loss | OK
257. die Arterienverkalkung | arteriosclerosis | OK
258. der Assessor | assessor/junior civil servant | OK
259. die Astrologie | astrology | OK
260. die Astronautin | astronaut | OK
261. die Astrophysik | astrophysics | OK
262. die Atembeschwerden | breathing difficulties | OK
263. der Atemstillstand | respiratory arrest | OK
264. der Audiofile | audio file | OK
265. der Aufbewahrungsort | storage place/repository | OK
266. die Aufklärungsquote | Enlightenment disposable portion | WRONG: clearance rate - This is the police crime-clearance rate.
267. der Aufnahmeantrag | absorption application | WRONG: application for admission/membership - Aufnahme means admission or joining here, not absorption.
268. die Aufnahmegebühr | admission fee/enrollment fee | OK
269. das Aufnahmegerät | recording device | OK
270. die Aufnahmekapazität | capacity/admission capacity | OK
271. die Aufschlüsselung | breakdown/split | OK
272. der Aufsichtsratschef | member of the supervisory board boss | WRONG: supervisory board chair - Chef means chair/head here, not a board member boss.
273. der Augenschmaus | feast for the eyes | OK
274. der Augsburger | eye burger | WRONG: person from Augsburg/Augsburg resident - Augsburger is a demonym, not an eye burger.
275. das Ausbauziel | expansion goal/expansion target | OK
276. der Ausbildungsstand | level of training | OK
277. das Ausflugsschiff | excursion boat | OK
278. die Ausfuhrgenehmigung | export approval | OK
279. die Ausgliederung | end arrangement | WRONG: spin-off/outsourcing - Ausgliederung means splitting off or outsourcing, not end arrangement.
280. der Aushub | excavated material | OK
281. der Ausruf | cry/exclamation | OK
282. die Ausschaltung | elimination/switching off | OK
283. der Ausschank | alcoholic drink/bar/counter | OK
284. die Außenaufnahme | absorption | WRONG: exterior shot/outdoor shot - Aufnahme means a shot or recording here, not absorption.
285. die Außenfläche | outer surface/exterior surface | OK
286. das Außenlager | subcamp | IMPROVE: external warehouse/subcamp - This is more generally an external store or camp; subcamp is too narrow.
287. die Außenluft | outdoor air/outside air | OK
288. der Außenverteidiger | fullback | OK
289. der Aussetzer | cock-up/fluff/mess-up | WRONG: lapse/dropout - Aussetzer means a lapse, failure, or dropout, not a cock-up.
290. die Aussöhnung | reconciliation | OK
291. die Austauschpartnerin | exchange partner (female) | OK
292. die Austauschschülerin | exchange pupil | OK
293. die Australierin | Australian | OK
294. die Auswechslung | substitution | OK
295. die Ausweiche | end switch | WRONG: passing place/siding - Ausweiche means a place to pull aside or a railway siding.
296. die Autobahnmeisterei | motorway maintenance depot | OK
297. der Auslandseinsatz | foreign assignment/deployment abroad | OK
298. der Autodidakt | autodidact | OK
299. das Automodell | car model/model | OK
300. die Automotive | automotive | OK
301. die Autorschaft | authorship | OK
302. die Babyklappe | baby flap/baby hatch | OK
303. die Babypause | baby break | IMPROVE: parental leave/career break for childcare - Babypause is a childcare-related career break, not a literal baby break.
304. der Backenzahn | back tooth/cheek tooth/molar | OK
305. die Verdrängung | displacement/suppression | OK
306. das Badewasser | bath water/bathwater | OK
307. der Baldachin | canopy/baldachin | OK
308. die Banalität | banality/triteness | OK
309. der Bänderriss | ligament rupture | OK
310. das Bankdarlehen | bank advance | WRONG: bank loan - Darlehen means loan, not advance.
311. der Baptist | baptist | OK
312. die Barbarei | barbarism/barbarity | OK
313. der Bärendienst | Bear duty | WRONG: disservice - This is an idiom meaning a well-meant but harmful service.
314. der Barhocker | bar stool/barstool | OK
315. der Barkeeper | bartender | OK
316. der Barockgarten | Baroque garden | OK
317. das Basilikum | basil | OK
318. der Basketballkorb | basketball basket | IMPROVE: basketball hoop - This is the usual English term for Basketballkorb.
319. der Bauernkrieg | peasants' war | OK
320. die Baumesse | building expo | OK
321. der Baumriese | boom giant | WRONG: giant tree - Baum means tree here, not boom.
322. die Baumrinde | bark | OK
323. die Baumwollspinnerei | cotton mill/cotton spinning | OK
324. die Beamtenlaufbahn | career | WRONG: civil service career - Beamtenlaufbahn is a career track as a civil servant.
325. das Beamtenrecht | civil service law | OK
326. der Beamtenstatus | state | WRONG: civil servant status - Status means legal/employment status here, not state.
327. das Beatmungsgerät | medical ventilator | OK
328. der Beduine | Bedouin/Beduin | OK
329. der Behördenleiter | head of authority/agency head | OK
330. der Bachlauf | Bach barrel | WRONG: stream/course of a stream - Bachlauf is the course of a stream, not a barrel.
331. die Belustigung | amusement/disport/merriment | OK
332. das Benzodiazepin | benzodiazepine | OK
333. die Beobachtungsgabe | observation donation | WRONG: observational skill - Gabe means talent or skill here, not donation.
334. der Beobachtungsturm | fire lookout tower/fire tower/lookout tower | OK
335. die Beprobung | sampling | OK
336. der Berggorilla | mountain gorilla | OK
337. der Bergkristall | berg crystal/mountain crystal/rock crystal | OK
338. der Berichtsmonat | reporting month | OK
339. der Besatzer | occupant | OK
340. der Verkehrssektor | transport sector | OK
341. die Bestellmöglichkeit | chance | WRONG: ordering option/order option - Bestellung means ordering, not chance generally.
342. die Bestmarke | brand | WRONG: personal best/record - Bestmarke is a best mark or record, not a brand.
343. die Betonwüste | concrete jungle | OK
344. die Betriebswirtin | business economist (female) | OK
345. die Betrügerei | fraudulence | IMPROVE: fraud/scam - The current gloss is uncommon and less useful than the normal noun.
346. das Betteln | begging | OK
347. die Beule | boil/bump/dent | OK
348. die Beunruhigung | disquiet/alarm | OK
349. das Beuteschema | bag pattern | WRONG: prey pattern/type - Beuteschema refers to a pattern of preferred prey or targets, not a bag pattern.
350. der Bevölkerungszuwachs | population growth | OK
351. die Bewaffnung | armament/arms | OK
352. die Beweisführung | presentation of evidence/proof | OK
353. die Bewohnerschaft | inhabitant beam | WRONG: residents/inhabitants - Bewohnerschaft is the body of residents, not a beam.
354. der Bezirksausschuss | borough committee | OK
355. die Bibelgesellschaft | Bible society | OK
356. der Bibelvers | Bible verse | OK
357. der Bierbrauer | beer brewer | OK
358. der Bierkrug | beer mug/stein | OK
359. die Biersorte | beer type | OK
360. das Bildchen | small picture | OK
361. das Bildwörterbuch | picture dictionary/visual dictionary | OK
362. die Bindehautentzündung | conjunctivitis/madras eye/pink eye | OK
363. der Binnenvertriebene | internally displaced person | OK
364. der Biobauer | organic farmer | OK
365. der Bioladen | organic store | OK
366. das Biolebensmittel | food | WRONG: organic food - Bio- is essential; the current gloss is too broad.
367. das Biozid | biocide | OK
368. der Bison | bison | OK
369. der Bissen | bite | OK
370. der Blasenkrebs | bladder cancer | OK
371. die Blasenschwäche | blowing flaw | WRONG: bladder weakness - Blase means bladder here, not blowing.
372. die Blaskapelle | brass band | OK
373. die Blaubeere | bilberry/blueberry | OK
374. die Bleiche | bleaching/bleach | OK
375. der Blitzschutz | lightning protection | OK
376. die Blumenerde | potting soil | OK
377. der Blumenladen | florist's/flower shop | OK
378. der Bluterguss | bruise/hematoma | OK
379. das Blutprodukt | blood product | OK
380. der Bodenfrost | ground frost | OK
381. der Bohrhammer | drifter drill/hammer drill/hammering drill | OK
382. die Boje | buoy/sonobuoy | OK
383. der Bolide | bolide | OK
384. der Bolognese | Bolognese | OK
385. das Bombardement | bombardment/bombing | OK
386. der Bombenanschlag | bomb attack | OK
387. der Bootsflüchtling | boat people | IMPROVE: boat refugee - The source noun is singular; "boat people" is plural and less precise.
388. das Bootshaus | boathouse | OK
389. der Boxsport | boxing | OK
390. die Brandkatastrophe | fire disaster | OK
391. der Brandschaden | baking damage | WRONG: fire damage - Brand means fire here, not baking.
392. das Brandschutzkonzept | fire protection concept | OK
393. das Braunkehlchen | whinchat | OK
394. der Braunton | shade of brown/brown tone | OK
395. die Brause | fizzy lemonade/lemonade/rose | IMPROVE: fizzy lemonade/soda - The current gloss includes an unrelated "rose" sense.
396. der Brautstrauß | bird bouquet | WRONG: bridal bouquet - Braut means bride, not bird.
397. der Brennraum | combustion chamber | OK
398. der Briefwähler | postal voter | OK
399. der Brillenträger | spectacle wearer | OK
400. das Brustbein | breastbone/sternum | OK
401. das Brustimplantat | breast implant | OK
402. die Buchbranche | book branch | IMPROVE: book industry - Branche means industry or sector, not branch in this context.
403. der Buchstabendreher | character turner | WRONG: transposed letters/typo - Buchstabendreher is a letter transposition error.
404. der Buchwert | book value | OK
405. die Buhne | groin/groyne | OK
406. die Bühnentechnik | stage technology | OK
407. die Bulldogge | bulldog | OK
408. die Bundesanwaltschaft | federal public prosecutor's office | OK
409. der Bundesarbeitsminister | Federal Minister of Labour | OK
410. die Bundespost | federal postal service | OK
411. der Burggraben | castle moat/economic moat/moat | OK
412. das Büschel | tuft | OK
413. das Backpulver | baking powder | OK
414. die Busspur | bus lane | OK
415. der Beat | beat (music) | OK
416. das Kochen | cooking | OK
417. das Cape | cape | OK
418. der Charakterzug | character trait | OK
419. der Checker | smart cookie/checker | OK
420. der Chefkoch | chef | OK
421. der Chemielaborant | chemical laboratory technician | OK
422. der Chemikant | chemical technician | OK
423. der Chili | chili/chili sauce/chilli | OK
424. die Cholera | cholera | OK
425. die Chorleiterin | choir director (female) | OK
426. die Christianisierung | Christianisation | OK
427. der Cineast | cineast/cineaste | OK
428. das Clubmitglied | member | OK
429. die Clutch | clutch/clutch bag/clutch purse | OK
430. das Commitment | commitment | OK
431. der Computerkurs | computer course | OK
432. die Computertomografie | computed tomography (CT) | OK
433. das Corpus | corpus | OK
434. die Courtage | broker's fee/brokerage/commission | OK
435. der Crack | ace/crack player | OK
436. das Croissant | croissant | OK
437. das Crossover | crossover | OK
438. der Crosstrainer | coach | WRONG: cross trainer/elliptical trainer - Crosstrainer is exercise equipment, not a coach.
439. der Cupcake | cupcake | OK
440. das Cyanobakterium | cyanobacterium | OK
441. die Dachschräge | sloping ceiling | OK
442. der Damenschuh | lady shoe | IMPROVE: women's shoe - This is the natural English compound; "lady shoe" is awkward.
443. die Damenwelt | lady Earth | WRONG: ladies' world - Welt means world here, not Earth as a planet.
444. das Dänisch | Danish | OK
445. der Dealer | dealer/drug dealer | OK
446. der Debütant | debutant | OK
447. die Dekarbonisierung | decarbonisation | OK
448. das Denkmuster | thought pattern | OK
449. der Denkprozess | lawsuit | WRONG: thought process - Denkprozess means a process of thinking, not a lawsuit.
450. die Dependance | branch/annexe | OK
451. der Dienstgrad | rank | OK
452. der Dienststellenleiter | head of department/office head | OK
453. der Dienstunfall | accident at work/workplace accident | OK
454. die Diffusion | diffusion | OK
455. die Digitalwährung | digital currency | OK
456. die Diskette | floppy/floppy disk | OK
457. die Diskontinuität | discontinuity | OK
458. die Disputation | disputation | OK
459. der Dissident | dissident | OK
460. das Diuretikum | diuretic | OK
461. die Divergenz | divergence/divergency | OK
462. der Doktorgrad | doctoral degree | OK
463. der Doktorvater | supervisor/thesis advisor | OK
464. der Doppelgänger | doppelganger/double | OK
465. das Doppelkupplungsgetriebe | gear | WRONG: dual-clutch transmission - Getriebe means transmission/gearbox, not just gear.
466. der Doppelpunkt | colon | OK
467. der Doppelsieg | doubles victory | OK
468. das Dorffest | village festival/village fete | OK
469. der Draft | draft | OK
470. die Dreifaltigkeit | Trinity | OK
471. der Drill | drill | OK
472. der Drittklässler | third grader/third-grader | OK
473. der Drive | drive/tee shot | OK
474. die Druckausgabe | pressing edition | WRONG: print edition - Druckausgabe is a printed edition, not a pressing edition.
475. der Druckfehler | misprint | OK
476. der Drumset | drum kit/drum set | OK
477. die Duftnote | aroma grade | WRONG: fragrance note - Duft means scent/fragrance, not aroma grade.
478. die Dünenlandschaft | dune landscape | OK
479. das Duplikat | copy/duplicate | OK
480. der Verlass | reliance | OK
481. die Durststrecke | thirst bag | WRONG: dry spell/lean period - Durststrecke is an idiom for a difficult dry spell.
482. das Dynamit | dynamite | OK
483. der Verliebte | person in love | OK
484. das Ebenbild | counterpart/spitting image | OK
485. die Eberesche | rowan | OK
486. das Eckball | corner/corner kick | OK
487. der Ehrentitel | chastity title | WRONG: honorary title/title of honor - Ehren- means honorary, not chastity.
488. die Ehrfurcht | awe/reverence | OK
489. die Eigenversorgung | self-supply/self-sufficiency | OK
490. das Eiltempo | fast pace/great haste | OK
491. die Eindeutigkeit | unambiguity/uniqueness | OK
492. der Eingeweihte | initiate/insider | OK
493. die Kürze | brevity | OK
494. die Einkommensquelle | income fountain | WRONG: source of income - Quelle means source here, not fountain.
495. das Einmaleins | ABC/multiplication tables | OK
496. die Einreichungsfrist | deadline | OK
497. die Einseitigkeit | one-sidedness | OK
498. die Einwechslung | substitution | OK
499. das Einzelschicksal | individual fate | OK
500. der Eischnee | beaten egg white/egg white foam | OK
501. die Eiscreme | ice cream | OK
502. das Eisenbahnnetz | railroad net | IMPROVE: railway network/railroad network - Network is the natural term for Netz here.
503. das Eisfach | freezer compartment/ice box | OK
504. der Eiskristall | ice crystal | OK
505. der Eisschild | ice shield | OK
506. die Eisscholle | ice-floe | OK
507. der Ekel | disgust/revulsion | OK
508. die Ekstase | ecstasy | OK
509. das Elastomer | elastomer | OK
510. das Elektrizitätswerk | power station | OK
511. der Elfjährige | eleven-year-old | OK
512. das Elixier | elixir | OK
513. die Embolie | embolism | OK
514. die Empirie | empiricism | OK
515. die Endhaltestelle | end stop | IMPROVE: final stop/terminus - The current gloss is understandable but less idiomatic.
516. das Endlager | repository/final storage site | OK
517. die Endziffer | final digit | OK
518. der Energiesparmodus | mode | WRONG: energy-saving mode - The compound specifically means energy-saving mode.
519. die Energiezufuhr | energy supply/power supply | OK
520. die Beatmung | artificial respiration/artificial ventilation | OK
521. das Ensemblemitglied | ensemble member | OK
522. die Entgrenzung | removal of boundaries | OK
523. die Entschuldung | debt cancellation | OK
524. der Entwässerungsgraben | drainage ditch/drainage trench | OK
525. die Entwicklungsstufe | development degree | WRONG: development stage - Stufe means stage or level here, not degree.
526. das Erbmaterial | genetic material | OK
527. der Eremit | hermit/hermit beetle | OK
528. der Erfahrene | experienced person | OK
529. der Erker | bay/oriel | OK
530. das Erlangen | attainment/obtaining | OK
531. die Ermüdung | fatigue | OK
532. die Beherrschung | control/domination/mastery | OK
533. die Ernährungssicherheit | food security | OK
534. der Erntehelfer | harvest hand/harvester | OK
535. das Eröffnungskonzert | opening concert | OK
536. der Erstwähler | first-time voter | OK
537. der Erzgebirger | person from the Ore Mountains | OK
538. das Erziehungsgeld | breeding dough | WRONG: parental allowance - Erziehungsgeld is a child-raising benefit, not breeding dough.
539. der Erzrivale | archrival | OK
540. die Eskapade | amorous adventure/escapade/reckless adventure | OK
541. die Esskultur | food culture/eating culture | OK
542. das Etagenbett | bunk bed | OK
543. die Exazerbation | exacerbation | OK
544. der Exponent | exponent | OK
545. der Eyeliner | eyeliner | OK
546. die Fabrikhalle | factory hall | OK
