1. der Lorbeer | bay leaf/sweat laurel | IMPROVE: laurel/bay laurel - "Bay leaf" is only the leaf; Lorbeer usually means the laurel plant or symbol.
508. die Tangente | tangent | OK
509. der Tarifpartner | collective bargaining partner | OK
510. die Tarnkappe | cloak of invisibility | OK
511. das Tasteninstrument | keyboard instrument | OK
512. die Tatzeit | time of the offence | OK
513. die Taubheit | deafness/numbness | OK
514. der Tausendsassa | amazing guy/jack of all trades | OK
515. das Taxiunternehmen | taxi company | OK
516. die Geburtstagsfeier | birthday party | OK
517. das Teelicht | tea candle/tealight | OK
518. der Teer | tar | OK
519. die Teigtasche | dumpling | OK
520. der Teilort | district/locality | OK
521. das Tensid | surfactant/tenside | OK
522. der Tentakel | tentacle | OK
523. die Terminologie | terminology | OK
524. die Terz | Terce/major third/minor third | OK
525. der Testamentsvollstrecker | administrator of a will/executor | OK
526. die Testerin | tester | OK
527. die Textsammlung | lyric collection | WRONG: text collection - Textsammlung is a collection of texts, not lyrics specifically.
528. die Textsorte | text type | OK
529. die Theaterkasse | theater box office | OK
530. der Theaterpädagoge | drama teacher (m.) | OK
531. der Ticker | ticker | OK
532. das Tiefdruckgebiet | low-pressure area | OK
533. die Tiefenentspannung | deep relaxation | OK
534. die Tiernahrung | pet food/animal feed | OK
535. die Tierquälerei | cruelty to animals/maltreatment of animals | OK
536. der Tiertransport | animal transport | OK
537. das Tischbein | table leg | OK
