1. der Rücksitz | back-seat | IMPROVE: back seat - The noun is normally written as 'back seat'; 'back-seat' is mainly adjectival.
43. der Softdrink | soft drink | OK
44. die Solarstromanlage | solar power system | OK
45. der Solidaritätszuschlag | solidarity surcharge | OK
46. der Songwriter | songwriter | OK
47. der Sonntagmittag | Sunday noon | OK
48. die Sopranistin | soprano | OK
49. der Brasilianer | Brazilian | OK
50. die Spieldauer | game duration | OK
51. das Spielzimmer | game chamber | WRONG: playroom - Spielzimmer is a room for playing, not a chamber.
52. der Brustkrebs | breast cancer | OK
53. der Spin | spin | OK
54. die Sprachanimation | language animation | OK
55. die Sprachausgabe | language edition | WRONG: speech output/voice output - Sprachausgabe in computing is spoken output, not a language edition.
56. der Sprachunterricht | language lessons/language teaching | OK
57. der Springer | jumper/knight/spare | OK
58. der Spritzer | splash/spritzer | OK
59. die Stadtreinigung | centre cleaner's | WRONG: municipal cleaning/waste collection - Stadtreinigung is city cleaning or waste collection.
60. der Stadtspaziergang | centre a walk in the park | WRONG: city walk/city stroll - Stadtspaziergang means a walk through town.
61. der Standplatz | pitch/parking space | OK
62. das Stechen | jump-off/sharp pain/stabbing pain | OK
63. das Steinhaus | stone house | OK
64. der Steinmetz | stonemason | OK
65. die Stellwand | folding screen | OK
66. das Stoma | ostomy/stoma/stomate | OK
67. der Störer | troublemaker/jammer | OK
68. das Strandhotel | beach hotel | OK
69. der Streicher | string player | OK
70. die Leiharbeit | temporary work | OK
71. die Streiterei | argument/quarrel | OK
72. der Streitpunkt | contentious point | OK
73. der Stromanschluss | electrical connection | OK
74. der Stromer | electric car (slang)/tramp | OK
75. der Stromverbraucher | electricity consumer | OK
76. der Stromversorger | electricity supplier | OK
77. die Strukturreform | structural reform | OK
78. die Südsee | South Seas | OK
79. das Sujet | subject | OK
80. der Sünder | sinner | OK
81. der Brennpunkt | focal point | OK
82. der Swing | swing (music/sport) | OK
83. die Symmetrie | symmetry | OK
84. das Tableau | tableau/board | OK
85. das Tagesprogramm | daily program/day's program | OK
86. die Tagestour | day tour | OK
87. der Taler | thaler | OK
88. die Tarifvertragspartei | party to a collective bargaining agreement | OK
89. der Tauchgang | dive | OK
90. die Teilzeitarbeit | part-time job/part-time work | OK
91. das Telefoninterview | telephone interview | OK
92. die Temperaturschwankung | temperature fluctuation | OK
93. der Temperaturunterschied | temperature contrast | IMPROVE: temperature difference - Unterschied is simply a difference; contrast is less natural here.
94. der Tetanus | tetanus | OK
95. das Textverarbeitungsprogramm | word processing program/word processor | OK
96. das Thermalbad | hot springs | IMPROVE: thermal bath/thermal spa - Thermalbad is the bathing facility, not the hot spring itself.
97. der Tiefbau | civil engineering/underground construction | OK
98. der Tierfreund | animal lover | OK
99. das Tipi | teepee/tepee/tipi | OK
100. das Toilettenpapier | loo paper/toilet paper | OK
101. das Trainingsgerät | training device | OK
102. die Transkription | transcription | OK
103. die Transportkosten | transport costs/shipping costs | OK
104. die Trisomie | trisomy | OK
105. der Trockenbau | drywall construction | OK
106. die Tube | tube | OK
107. die Typografie | typography | OK
108. das Überbleibsel | remnant | OK
109. die Überkapazität | excess capacity | OK
110. der Likör | cordial/liqueur | OK
111. die Übungsaufgabe | exercise | OK
112. der Uhu | eagle-owl/glue | OK
113. die Umluft | circulating air/recirculated air/secondary air | OK
114. die Umsicht | circumspection | OK
115. die Mähne | mane | OK
116. die Unfallverhütungsvorschrift | regulation | IMPROVE: accident prevention regulation - The current gloss is too vague for the compound.
117. die Mangelware | goods in short supply/scarce commodity | OK
118. die Ungereimtheit | inconsistency | OK
119. der Unionsbürger | Union citizen | OK
120. der Unkostenbeitrag | contribution toward expenses | OK
121. das Unterholz | brushwood/undergrowth | OK
122. das Unterscheidungsmerkmal | distinctive feature/distinguishing feature | OK
123. die Unterstellung | insinuation/subordination | OK
124. das Untersuchungsverfahren | examination procedure | OK
125. die Urbanistik | urbanistics | IMPROVE: urban studies - Urbanistik is more naturally 'urban studies' for learners.
126. der Urknall | Big Bang | OK
127. die Urlaubsfoto | furlough photo | WRONG: vacation photo/holiday photo - Urlaub is vacation or holiday, not furlough in this compound.
128. das Urlaubsgeld | holiday pay | OK
129. der Broker | broker | OK
130. die Verbeamtung | obtaining a civil service position | OK
131. das Verbrauchsdatum | use-by date | OK
132. der Verdauungstrakt | digestive system | OK
133. die Verdickung | thickening | OK
134. die Vereidigung | swearing-in | OK
135. der Vereinsvorstand | association board of directors | OK
136. das Verfallsdatum | expiration date/expiry date | OK
137. die Verformung | deformation/displacement | OK
138. die Vergänglichkeit | caducity | IMPROVE: transience/impermanence - Caducity is rare; the learner-friendly meaning is transience.
139. der Verhandlungstag | negotiation stay | WRONG: day of proceedings/hearing day - Verhandlungstag is a day of negotiations or court proceedings, not a stay.
140. das Verkaufsgespräch | sales talk | OK
141. die Verkehrserziehung | road safety training/traffic instruction | OK
142. der Verkehrsfluss | traffic flow | OK
143. die Verkehrsregel | traffic rule | OK
144. die Bundesbehörde | federal agency | OK
145. das Verletzungsrisiko | breach chance | WRONG: risk of injury - Verletzung means injury here; Risiko is risk.
146. die Verlobung | engagement/espousal | OK
147. der Verpackungsmüll | packaging waste | OK
148. die Verschnaufpause | breather | OK
149. die Versenkung | immersion/lowering/scuttling | OK
150. der Versicherungskonzern | affirmation combine | WRONG: insurance group/insurance corporation - Versicherung is insurance, not affirmation.
151. der Vertriebsleiter | sales manager/head of sales | OK
152. die Verwaltungsreform | administration reform | OK
153. die Verwechslungsgefahr | confusion danger | WRONG: risk of confusion - Gefahr means risk here, and Verwechslung means confusion or mix-up.
154. die Verweisung | referral/reference | OK
155. die Veterinärmedizin | veterinary medicine | OK
156. das Vlies | fleece/non-woven fabric/nonwoven | OK
157. die Volkskunst | folk art | OK
158. die Vollbeschäftigung | full employment | OK
159. der Vollmond | baldie/full moon | IMPROVE: full moon - The extra 'baldie' sense is distracting and not the primary learner gloss.
160. die Vollpension | full board/full-board | OK
161. das Vorland | country | WRONG: foreland/foothills - Vorland is land lying in front of a region or mountains, not country in general.
162. der Vorraum | antechamber/anteroom/lobby | OK
163. das Bundesinnenministerium | Federal Ministry of the Interior | OK
164. die Wählerschaft | electorate | OK
165. das Wahlplakat | election poster | OK
166. der Bundeswirtschaftsminister | federal minister of the economy | OK
167. das Waisenhaus | orphanage/orphanry | OK
168. die Waldwirtschaft | forest economics | IMPROVE: forestry/forest management - Waldwirtschaft is the management or economics of forests.
169. die Walke | fulling/fulling machine | OK
170. die Walze | cylinder/road roller | OK
171. die Wanderschaft | peregrination | IMPROVE: travels/years of travel - Peregrination is obscure; Wanderschaft usually means a period of wandering travel.
172. die Warnweste | high visibility vest/reflective vest/safety vest | OK
173. die Warze | nipple/wart | IMPROVE: wart - Warze primarily means wart; nipple is Brustwarze.
174. der Wasserkreislauf | water cycle/hydrological cycle | OK
175. die Wasserpflanze | aquatic plant | OK
176. der Wasserspiegel | water surface | OK
177. die Wattwanderung | mud-flats hike | OK
178. der Weblog | weblog | OK
179. die Wechselausstellung | temporary exhibition | OK
180. der Wechselrichter | inverter | OK
181. die Weihnachtskarte | Christmas card | OK
182. der Weinanbau | grape cultivation | OK
183. die Weltsicht | worldview | OK
184. der Weltverband | international association/world association/world federation | OK
185. das Werd | worth (poetic, in 'eines Werd') | WRONG: river island - Werd is an old or regional word for an island in a river or wetland.
186. die Wertsteigerung | increase in value | OK
187. der Wickel | compress/curler/dressing | OK
188. die Markise | awning/marquise cut/marquise cut stone | OK
189. das Widget | widget | OK
190. der Wintervogel | winter bird | OK
191. das Wirtschaftsmagazin | economics depository | WRONG: business magazine/economics magazine - Magazin is a magazine, not a depository.
192. der Wissenschaftsbereich | academic discipline area | IMPROVE: field of science/research area - The current wording is awkward and less useful.
193. der Wodka | vodka | OK
194. der Wohnungseinbruch | residential burglary | OK
195. die Xbox | Xbox | OK
196. der Yen | yen | OK
197. die Zahlungsaufforderung | payment call | IMPROVE: payment request/demand for payment - Aufforderung is a request or demand, not a phone call.
198. die Zehntausend | ten thousand | OK
199. die Zeitzeugin | time witness | WRONG: contemporary witness/eyewitness (female) - Zeitzeuge is a witness to historical events, not a literal time witness.
200. der Zigeuner | Gipsy/Gypsy/Tzigane | IMPROVE: Gypsy/Romani person (offensive term) - The German word is derogatory and the current gloss includes misspellings.
201. die Zuführung | supply/feeding | OK
202. das Dampfbad | steam bath | OK
203. der Zugzwang | zugzwang | OK
204. die Zuwachsrate | accession installment | WRONG: growth rate - Zuwachs is growth or increase, not accession installment.
205. die Zuwiderhandlung | infringement/violation | OK
206. der Zwischenruf | call | IMPROVE: interjection/heckling call - Zwischenruf is a call shouted in between, especially during a speech.
207. das Abendblatt | daily evening paper/evening paper | OK
208. der Abhang | acclivity/dip/flank of a hill | IMPROVE: slope/hillside - The current alternatives are obscure and include the opposite direction.
209. das Abhören | bugging/interception/wiretapping | OK
210. der Abkömmling | derivative/descendant | OK
211. die Ablöse | one-off payment/replacement/transfer fee | OK
212. die Abschiebehaft | custody pending deportation | OK
213. der Absteiger | demoted man/relegated athlete/relegated team | OK
214. das Acrylamid | acrylamide | OK
215. das Additiv | additive | OK
216. das Adoptiveltern | adoptive parents | OK
217. der Afghane | Afghan | OK
218. der Aktienindex | stock market index | OK
219. der Aktionismus | actionism | IMPROVE: actionism/action for action's sake - Aktionismus means excessive or showy activity, not neutral activism.
220. die Algebra | algebra | OK
221. die Amerikanistik | American Studies | OK
222. der Ami | Murican/Seppo/US-anian | WRONG: American/Yank (colloquial) - Ami is colloquial for an American; the current slang choices are not useful.
223. das Amphetamin | amphetamine | OK
224. die Amplitude | amplitude | OK
225. der Dauerbrenner | duration burner | WRONG: perennial favorite/long-running issue - Dauerbrenner is an idiom, not a literal burner.
226. der Amtsleiter | head of office/office manager | OK
227. die Analysemethode | analysis method | OK
228. der Anarchist | anarchist | OK
229. der Anflug | approach/touch | OK
230. die Angemessenheit | appropriateness | OK
231. das Antivirenprogramm | anti-virus software/antivirus | OK
232. die Anzeigetafel | scoreboard | OK
233. die Aorta | aorta | OK
234. die Apartheid | apartheid | OK
235. die Arbeiterbewegung | labour movement | OK
236. die Arkade | arcade | OK
237. die Artikelnummer | item number/article number | OK
238. das Debütalbum | debut album | OK
239. die Deportation | deportation | OK
240. die Asylbewerberin | asylum seeker (female) | OK
241. die Atlantikküste | Atlantic coast | OK
242. die Aufbruchstimmung | optimistic mood | OK
243. die Aufrechnung | set-off | OK
244. der Aufruhr | riot/tumult/turmoil | OK
245. die Aufsichtsperson | oversight person | WRONG: supervisor/chaperone - Aufsichtsperson is a person responsible for supervision.
246. die Auftragsbestätigung | confirmation of order | OK
247. das Aufwachen | awakening | OK
248. die Augenerkrankung | eye disease | OK
249. das Auktionshaus | auction house | OK
250. der Außendienstmitarbeiter | field manager/field worker/field workforce | IMPROVE: field sales representative/field employee - Au?endienst usually means outside sales or field service work.
251. der Aussteiger | dropout | OK
252. die Ausstellungshalle | exhibition hall | OK
253. die Automarke | car brand/make of car | OK
254. der Automarkt | car market/automotive market | OK
255. der Autositz | car seat | OK
256. der Autovermieter | auto landlord | WRONG: car rental company/car rental agent - Vermieter rents things out; it is not a landlord for autos.
257. der Dickdarm | colon/large bowel/large intestine | OK
258. der Bandit | bandit/brigand/outlaw | OK
259. die Barzahlung | cash/cash payment | OK
260. der Basalt | basalt | OK
261. der Bauchspeicheldrüsenkrebs | pancreas Cancer | IMPROVE: pancreatic cancer - This is the standard medical term in English.
262. der Baugrund | building ground | OK
263. die Bauherrin | client/constructor/owner | OK
264. die Bauindustrie | construction industry | OK
265. die Baumhöhle | boom cave | WRONG: tree hollow - Baum means tree, not boom.
266. der Bauschutt | building rubble | OK
267. der Dienstagnachmittag | Tuesday afternoon | OK
268. der Beipackzettel | package insert | OK
269. die Bekassine | snipe | OK
270. das Dock | dock | OK
271. die Bereitschaftspolizei | emergency service police | WRONG: riot police/standby police - Bereitschaftspolizei is a police reserve or riot police unit.
272. der Berggipfel | mountain peak/mountain top | OK
273. der Berghang | mountain/slope | IMPROVE: mountain slope - The compound means a slope on a mountain.
274. die Berghütte | mountain cabin/alpine hut | OK
275. die Bergstadt | mountain town | OK
276. der Berufsstand | profession/occupation group | OK
277. der Beschlag | fitting/condensation | OK
278. der Besucherrekord | record attendance | OK
279. das Beta | beta | OK
280. die Betriebsanleitung | operating instruction | IMPROVE: operating manual/instructions - Betriebsanleitung usually refers to the manual or instructions.
281. die Betriebsart | operation mode | OK
282. der Betrugsversuch | deceit attempt | WRONG: attempted fraud - Betrug is fraud; Versuch is attempt.
283. der Bettler | beggar/panhandler | OK
284. der Bezieher | recipient | OK
285. der Bezirksbürgermeister | borough mayor | OK
286. das Biest | beast | OK
287. der Bildausschnitt | idea clip | WRONG: image section/crop - Bildausschnitt is a selected part of an image.
288. die Bildfläche | scene/screen | IMPROVE: image area/picture surface - Bildfl?che is the surface or area of an image, not a scene.
289. die Bildrate | frame frequency/frame rate | OK
290. der Bildschirmschoner | screen saver | OK
291. der Binnenhafen | harbour | IMPROVE: inland port - Binnenhafen specifically means a port away from the sea.
292. der Biomarker | biomarker | OK
293. die Bionik | bionics | OK
294. der Blumenkohl | cauliflower | OK
295. die Bluttransfusion | blood transfusion | OK
296. die Bombardierung | bombardment | OK
297. der Bösewicht | villain | OK
298. die Brailleschrift | Braille Bible | WRONG: Braille/Braille script - Brailleschrift is the writing system, not a Bible.
299. der Branchenführer | leader in the field | OK
300. der Brandenburger | person from Brandenburg/Brandenburger | OK
301. der Brandfall | case of fire/fire incident | OK
302. die Brandmeldeanlage | fire alarm system | OK
303. die Brandursache | cause of a fire | OK
304. die Brezel | pretzel | OK
305. die Briefpost | letter mail | OK
306. die Brigade | brigade | OK
307. das Brummen | buzz/buzzing/drone | OK
308. der Brustschmerz | boob ache | WRONG: chest pain - Brust means chest or breast; 'boob ache' is wrong register.
309. der Doppelpack | double pack | OK
310. der Bücherbus | bookmobile | OK
311. die Bundesbildungsministerin | minister | WRONG: federal education minister (female) - The compound specifies the federal education minister, not just any minister.
312. der Bürgerdialog | bourgeois dialogue box | WRONG: citizen dialogue/public dialogue - B?rger means citizen here, not bourgeois, and Dialog is not a dialog box.
313. der Büroalltag | bureau everyday life | WRONG: everyday office life - B?roalltag means daily routine in an office.
314. die Buße | fine/penance/repentance | OK
315. der Cargo | cargo | OK
316. der Dorn | thorn/spike | OK
317. die Chancenverwertung | conversion of chances/opportunities | OK
318. das Cholesterin | cholesterol | OK
319. die Chormusik | choral music | OK
320. die Christenheit | Christendom | OK
321. der Christkindlesmarkt | market | IMPROVE: Christmas market - Christkindlesmarkt is a specific type of Christmas market.
322. das Containerschiff | container ship/container vessel/containership | OK
323. das Darknet | darknet | OK
324. die Dauerleihgabe | donation | WRONG: permanent loan/long-term loan - A Dauerleihgabe is a long-term loan to a museum, not a donation.
325. das Dauerthema | ongoing topic/perennial issue | OK
326. die Deckschicht | cap | IMPROVE: top layer/covering layer - Deckschicht is a covering layer; 'cap' is too vague alone.
327. die Deformation | deformation | OK
328. die Meeresfrüchte | sea food/seafood | OK
329. die Demut | humbleness/humility/lowliness | OK
330. die Diabetologie | diabetology | OK
331. der Dienstvertrag | duty agreement | WRONG: service contract - Dienstvertrag is a legal service contract, not a duty agreement.
332. die Echtheit | authenticity/fastness | OK
333. die Direktion | administration/board/department | OK
334. die Disziplinarmaßnahme | action | WRONG: disciplinary measure - Ma?nahme is measure; the compound is specifically disciplinary.
335. das Doppelhaus | semi-detached house | OK
336. die Drainage | drainage | OK
337. die Drift | drift | OK
338. der Drogenabhängige | drug addict | OK
339. der Drogenhandel | illegal drug trade | OK
340. die Druckvorlage | pressing template | WRONG: print template/print-ready artwork - Druck means printing here, not pressing.
341. das Druckwerk | printing unit | OK
342. das Durcheinander | chaos/clutter/confusion | OK
343. die Durchsicht | point of view | WRONG: review/inspection - Durchsicht is looking through or reviewing something, not point of view.
344. die Dysfunktion | dysfunction | OK
345. das Ehegattensplitting | spouse income splitting | OK
346. der Ehename | marriage name | OK
347. der Einflussbereich | sphere of influence | OK
348. die Einkaufspassage | buying passage | WRONG: shopping arcade - Einkaufspassage is a shopping passage or arcade.
349. die Menschenfeindlichkeit | misanthropy | OK
350. die Einsetzung | settlement | WRONG: appointment/installation - Einsetzung means appointing or installing someone, not settlement.
351. der Einzelspieler | singleplayer | OK
352. der Einzeltäter | lone operator | IMPROVE: lone perpetrator - T?ter is a perpetrator; 'operator' is too vague.
353. der Einzelunternehmer | singles businessman | WRONG: sole proprietor - Einzelunternehmer is a one-person business owner.
354. das Eisstockschießen | shooting | WRONG: ice stock sport/Bavarian curling - Eisstockschie?en is the ice stock sport, not shooting.
355. der Elektrobus | bus | WRONG: electric bus - Elektro- specifies that the bus is electric.
356. die Elektroheizung | heating | WRONG: electric heating - Elektro- specifies electric heating.
357. der Elektroroller | electric scooter | OK
358. die Elfe | elfin/elve/fairy | IMPROVE: fairy/elf - The current gloss includes awkward or incorrect forms.
359. die Eliteschule | elite school | OK
360. der Elternsprechtag | day | WRONG: parent-teacher conference day - Elternsprechtag is the school day for parent-teacher meetings.
361. das Emblem | emblem/symbol | OK
362. die Empore | gallery/balcony (church) | OK
363. das Emscher | Emscher (river) | OK
364. die Eignungsprüfung | aptitude audit | WRONG: aptitude test - Pr?fung is a test or exam, not an audit here.
365. die Endstation | end of the line/final destination/final stop | OK
366. die Energieform | energy form | OK
367. die Entsprechung | equivalent | OK
368. das Entwicklungsstadium | development stage | OK
369. die Entzugserscheinung | revoking apparition | WRONG: withdrawal symptom - Entzug is withdrawal; Erscheinung is symptom or manifestation.
370. die Epidemiologie | epidemiology | OK
371. die Erbsensuppe | pea soup | OK
372. das Erhitzen | heating | OK
373. der Erholungsurlaub | recovery furlough | WRONG: annual leave/vacation leave - Erholungsurlaub is statutory vacation leave, not furlough.
374. die Erkältungskrankheit | cold/respiratory illness | OK
375. das Erkennungszeichen | recognition character | WRONG: distinguishing mark/identifying sign - Zeichen means sign or mark here, not character.
376. der Erkrankungsfall | case of illness | OK
377. der Ernährungsberater | food adviser | IMPROVE: nutritionist/nutrition adviser - Ern?hrung is nutrition rather than food generally.
378. das Ersparte | savings | OK
379. die Eucharistie | Eucharist/Holy Communion | OK
380. die Eurokrise | European debt crisis/Eurozone crisis | OK
381. die Expo | expo/world's fair | OK
382. der Fachwerkbau | frame-work building | IMPROVE: half-timbered building/construction - Fachwerkbau refers to half-timbered construction.
383. der Fahrlehrer | driving instructor | OK
384. das Fahrwasser | channel | OK
385. der Familienkreis | family circle | OK
386. der Familienzuschlag | family acceptance | WRONG: family allowance/family supplement - Zuschlag is a supplement or allowance, not acceptance.
387. die Farbnuance | colour nuance | OK
388. die Farbpalette | colour palette | OK
389. die Farce | farce | OK
390. die Fehlanzeige | negative report/no result | OK
391. der Fehlstart | false start | OK
392. die Feindschaft | enmity/hostility | OK
393. das Ferienlager | holiday camp/summer camp | OK
394. der Fernwanderweg | distance hiking trail | OK
395. der Festkörper | solid | OK
396. die Fettstoffwechselstörung | dyslipidemia/lipid metabolic disease | OK
397. die Fettverbrennung | fat burning | OK
398. die Einverständniserklärung | agreement explanation | WRONG: declaration of consent/consent form - Einverst?ndnis is consent, and Erkl?rung is a declaration.
399. der Fichtenwald | spruce forest | OK
400. der Fight | fight | OK
401. das Filet | fillet/netting | OK
402. das Finalspiel | final game | OK
403. die Finanzabteilung | finance department | OK
404. der Finanzier | financier | OK
405. die Finanzministerin | finance minister | OK
406. die Finanztransaktionssteuer | financial transaction tax | OK
407. der Meteorologe | meteorologist | OK
408. der Firmenwagen | company car | OK
409. die Firmenzentrale | central office | OK
410. das Fitnesscenter | gym | OK
411. das Fladenbrot | flat bread/flatbread | OK
412. die Flechte | lichen | OK
413. die Fluchtgeschichte | story of flight/refugee story | OK
414. der Flüchtlingsrat | Refugee Council/refugee council | OK
415. der Flüchtlingsstrom | flood of refugees | OK
416. das Fluggerät | aircraft/flying device | OK
417. der Fluglotse | air traffic controller | OK
418. die Flugverbindung | flight connection | OK
419. das Flusstal | flow dale | WRONG: river valley - Fluss means river, and Tal means valley.
420. die Flutung | flooding | OK
421. die Folklore | folklore | OK
422. das Fracking | fracking | OK
423. die Frauenfigur | female figure/woman's figure | OK
424. die Freiheitsentziehung | draw | WRONG: deprivation of liberty - This is the legal term for taking away someone's freedom.
425. der Freiheitskämpfer | freedom fighter | OK
426. die Freilichtbühne | greenery theatre/sylvan theatre | WRONG: open-air stage/theater - Freilicht means open-air, not greenery or sylvan.
427. das Fressen | eating/feeding/food | OK
428. das Frettchen | ferret | OK
429. der Friedensprozess | peace process | OK
430. die Fritteuse | deep fryer | OK
431. der Frontalunterricht | teacher-centered instruction/direct instruction | OK
432. die Frontscheibe | front disk | WRONG: windshield/windscreen - Frontscheibe is the front window of a vehicle.
433. der Fruchtzucker | fructose | OK
434. der Füller | fountain pen/pen | OK
435. die Meteorologie | meteorology | OK
436. das Gamepad | gamepad | OK
437. der Gangster | gangster | OK
438. die Gärung | fermentation | OK
439. die Gaskammer | gas chamber | OK
440. die Gasleitung | gas line/gas pipe | OK
441. der Gasthörer | guest earpiece | WRONG: auditing student/guest auditor - A Gasth?rer attends lectures without being fully enrolled.
442. der Gastvortrag | guest lecture | OK
443. der Geber | giver/dealer | OK
444. der Millionär | millionaire | OK
445. der Geburtsname | birth name/maiden name/name at birth | OK
446. der Gefrierpunkt | freezing point | OK
447. die Gefriertruhe | chest freezer/deep freezer/freezer | OK
448. die Gegenfahrbahn | oncoming lane/opposite carriageway | OK
449. das Gegenmittel | counteragent | IMPROVE: antidote/remedy - Gegenmittel is the usual word for an antidote or countermeasure.
450. die Gegenrichtung | opposite direction | OK
451. der Elternbeitrag | parental contribution/parent fee | OK
452. die Gegenwartskunst | contemporary art | OK
453. das Emoji | emoji | OK
454. der Geier | vulture | OK
455. das Geldhaus | financial institution | OK
456. die Gemüseart | vegetable type | OK
457. der Emulator | emulator | OK
458. der Gemüsegarten | kitchen garden/vegetable garden | OK
459. der Mindestabstand | minimum distance | OK
460. die Genese | genesis | OK
461. der Geräuschpegel | noise level | OK
462. die Gerichtsverhandlung | court session/trial | OK
463. das Geschütz | artillery piece/gun/piece | OK
464. der Gesundheitsausschuss | health committee | OK
465. das Getümmel | throng/commotion | OK
466. der Gewerkschaftsbund | trade union confederation | OK
467. die Gewürzmischung | spice blend | OK
468. die Ergotherapie | therapy | IMPROVE: occupational therapy - Ergotherapie specifically means occupational therapy.
469. das Gipfeltreffen | summit/summit conference/summit meeting | OK
470. das Glätteisen | clothes iron/flat iron/hair iron | IMPROVE: hair straightener/flat iron - Gl?tteisen primarily means a hair straightener.
471. die Gotik | Gothic period/Gothic style | OK
472. das Granulat | granulate | OK
473. der Grauton | gray tone/grey tone | OK
474. der Grenzgänger | cross-border commuter | OK
475. die Grippewelle | cold Mexican wave | WRONG: flu wave/flu outbreak - Grippe is flu, and Welle is wave or outbreak.
476. die Grundform | basic form/canonical form/citation form | OK
477. der Grundschullehrer | primary school teacher | OK
478. die Grundstücksgrenze | estate border | WRONG: property boundary - Grundst?ck means a plot of land or property.
479. das Grünflächenamt | green office | WRONG: parks department/green spaces office - Gr?nfl?chenamt is the municipal office for green spaces.
480. der Gulasch | goulash | OK
481. der Güterbahnhof | railroad station | WRONG: freight yard/goods station - G?terbahnhof is a station for freight, not a passenger railroad station.
482. der Gymnasiallehrer | grammar school teacher/high school teacher | OK
483. die Habilitationsschrift | habilitation thesis | OK
484. der Hafer | oat | OK
485. die Hallenkirche | hall church | OK
486. die Halluzination | hallucination | OK
487. das Halsband | collar/necklace | OK
488. der Handelnde | actor/agent/doer | OK
489. die Erosion | erosion | OK
490. das Mischpult | mixing console/mixing desk | OK
491. die Hauptsaison | high season | OK
492. die Hauptverkehrszeit | rush hour/peak traffic time | OK
493. die Hausaufgabenhilfe | homework help | OK
494. die Erschütterung | vibration | OK
495. das Hausdach | rooftop | OK
496. die Haushaltskasse | household budget/household cash | OK
497. die Hautreizung | skin irritation | OK
498. der Headhunter | headhunter | OK
499. der Hecht | dandy/pike | OK
500. die Heidelbeere | bilberry/blueberry | OK
501. die Heiterkeit | cheerfulness | OK
502. die Helmpflicht | cupola business | WRONG: helmet requirement/mandatory helmet law - Helm means helmet, and Pflicht is an obligation.
503. das Herzrasen | racing heart/rapid heart beat/tachycardia | OK
504. der Hilferuf | appeal for help/cry for help/distress signal | OK
505. der Himmelskörper | celestial body/heavenly body | OK
506. der Hindernislauf | steeplechase | OK
507. die Hinterachse | axis | WRONG: rear axle - Hinterachse is the rear axle of a vehicle.
508. das Hinterrad | bicycle | WRONG: rear wheel - Hinterrad is a rear wheel, not a bicycle itself.
509. die Hirnregion | brain region | OK
510. die Hochschullehrerin | college female | WRONG: university lecturer/professor (female) - Hochschullehrerin is a female university teacher, not a college female.
511. der Hoffnungsträger | beacon of hope | OK
512. die Holzkirche | timber church | OK
513. die Esche | ash | OK
514. die Horizontale | horizon ale | WRONG: horizontal line/plane - Horizontale is the horizontal, not a beverage-like phrase.
515. der Hormonhaushalt | hormone balance | OK
516. die Hormontherapie | hormone therapy | OK
517. der Hörverlust | hearing loss | OK
518. die Hufe | oxgang | OK
519. die Hyäne | hyaena/hyena | OK
520. die Hygienevorschrift | hygiene regulation | OK
521. die Immunisierung | immunisation | OK
522. der Impressionismus | impressionism | OK
523. die Infektionsgefahr | infection danger | IMPROVE: risk of infection - Gefahr is risk or danger; this compound is idiomatic as risk of infection.
524. die Infrastrukturmaßnahme | infrastructure action | WRONG: infrastructure measure/project - Ma?nahme is a measure or project, not merely an action.
525. die Inhalation | inhalation | OK
526. das Insektizid | insecticide | OK
527. die Instruktion | instruction | OK
