1. der Monoskibobfahrer | monoski bobber | OK
51. die Burgdame | lady of the castle | OK
52. der Rollentausch | role reversal | OK
53. die Themen-Tour | theme tour | OK
54. die E-Gitarre | electric guitar | OK
55. der Machtwechsel | change of power | OK
56. der Staatsfeiertag | bank holidays | WRONG: public holiday/national holiday — Staatsfeiertag is a state or national holiday, not “bank holidays”.
57. die Schutzmaßnahme | protective measure | OK
58. die Drucktafel | printing plate | OK
59. das Musikgenie | musical genius | OK
60. die Säuglingssterblichkeit | infant mortality | OK
61. die Empfindung | feeling/sensation | OK
62. die Ausreisekontrolle | exit check | OK
63. der Grenzsoldat | border guard | OK
64. die Epidemie | epidemic/pestilence | OK
65. das Kontrollsystem | control system | OK
66. das S-Bahn-Netz | suburban railway network | OK
67. die Abschiedsszene | farewell scene | OK
68. der Familienbesuch | family visit | OK
69. die S-Bahn-Linie | S-Bahn line | OK
70. der Umsteigebahnhof | transfer station | OK
71. der Umsteigeweg | transfer route | OK
72. die Verabschiedungshalle | farewell hall | OK
73. der Lexikonartikel | encyclopaedia article | OK
74. die Gesundheitspolitik | health policy | OK
75. der Massenprotest | mass protest | OK
76. der Staatsführer | state leader | OK
77. der Zeitstrahl | timeline | OK
78. die Grenzöffnung | opening of the border | OK
79. der Bundesminister | Federal Minister | OK
80. der Klassenbeste | best in class | OK
81. der Langlauf | cross-country skiing | OK
82. der Parteivorsitz | party chairmanship | OK
83. die Bewegungsstörung | movement disorder | OK
84. der Gedächtnisinhalt | memory content | OK
85. die Gehirnaktivität | brain activity | OK
86. die Gelenkschmerzen | joint pain | OK
87. der Hirnschaden | brain damage | OK
88. der Lerneffekt | learning effect | OK
89. der Lerninhalt | learning content | OK
90. der Musiktherapeut | music therapist | OK
91. der Pulsschlag | pulse beat | OK
92. der Sauerstoffverbrauch | oxygen consumption | OK
93. das Schmerzempfinden | sensation of pain | OK
94. der Pessimismus | Pessimism | OK
95. das Ampelprinzip | traffic light principle | OK
96. das Genie | genius | OK
97. das Endorphin | endorphin | OK
98. die Angstreaktion | fear response | OK
99. der Gedankenschritt | thought step | OK
100. der Lesetext | reading text | OK
101. das Urteilsvermögen | power of judgement | OK
102. die Wochenendbeziehung | weekend relationship | OK
103. der Blaumann | blue man | WRONG: overalls/boiler suit — Blaumann is work overalls, not a blue-colored man.
104. das Business-Outfit | business outfit | OK
105. der Kundenkontakt | Customer contact | OK
106. die Alltagssprache | everyday language | OK
107. die Klimazone | climatic zone | OK
108. die Arbeitschance | work opportunity | OK
109. der Bewunderer | admirer | OK
110. der Essayist | essayist | OK
111. die Gesellschaftskritik | social criticism | OK
112. der Hinterhof | backyard | OK
113. die Gesetzesreform | law reform | OK
114. die Häufigkeit | frequency | OK
115. die Liberalität | Liberality | OK
116. die Schaffensperiode | creative period | OK
117. der Witwer | widower | OK
118. der Technikkonzern | technology group | OK
119. die Einsatzmöglichkeit | possible applications | OK
120. der Robotertyp | robot type | OK
121. die Haupthandlung | main storyline | OK
122. der Erfindungsreichtum | inventiveness | OK
123. das Gesundheitsgerät | health device | OK
124. die Körperdaten | body data | OK
125. der Lichtsensor | light sensor | OK
126. die Marktforschungsfirma | market research company | OK
127. die Putzgewohnheit | cleaning habit | OK
128. der Sauerstoffanteil | oxygen content | OK
129. die Tränenflüssigkeit | lacrimal fluid | OK
130. der IT-Bereich | IT area | OK
131. die Programmankündigung | programme announcement | OK
132. die Rakete | missile/rocket/skyrocket | OK
133. der Wissensmanager | knowledge manager | OK
134. das Menschenleben | human life | OK
135. der Berufsbereich | professional sector | OK
136. der Schweiß | sweat | OK
137. das Internetmanagement | Internet management | OK
138. das Ausbildungsangebot | training programme | OK
139. die Berufswelt | professional world/world of work | OK
140. die Wissensbeschaffung | acquisition of knowledge | OK
141. der Forumsbeitrag | forum post | OK
142. das Generationenwohnprojekt | intergenerational housing project | OK
143. das Privatauto | private car | OK
144. der Ankunftsabend | arrival evening | OK
145. der Aussteller | exhibitor | OK
146. das Messegelände | exhibition centre | OK
147. die Messehalle | exhibition hall | OK
148. die Werbeanzeige | advert | OK
149. der Neurologe | neurologist | OK
150. das Nitrat | nitrate | OK
151. der Beschwerdebrief | letter of complaint | OK
152. die Meerestiefe | depth of the sea | OK
153. das Rauchen | smoking | OK
154. das Sportpensum | amount of sport | OK
155. die Glaserlehre | glazier apprenticeship | OK
156. die Ausbildungsmöglichkeit | training opportunity | OK
157. die Verständlichkeit | comprehensibility/intelligibility | OK
158. die Zukunftsvision | future vision | OK
159. die Genehmigung | approval/permit | OK
160. der Einzelfall | individual case/isolated case | OK
161. die Stellungnahme | statement | OK
162. die Pinnwand | pinboard | OK
163. das Motiv | motive/motif | OK
164. der Betreiber | operator/runner | OK
165. der Gründer | founder | OK
166. der Verlauf | course | OK
167. der Höhepunkt | highlight/climax | OK
168. der Sponsor | sponsor | OK
169. der Mandant | client | OK
170. die Eintragung | registration | OK
171. die Rechenschaft | account/accountability | OK
172. der Zaun | fence | OK
173. der Preisvergleich | comparison of prices/price comparison | OK
174. die Kanzlerin | Chancellor | OK
175. der Kaufvertrag | contract for sale/contract of sale/purchase agreement | OK
176. der Puls | pulse | OK
177. die Wichtigkeit | importance | OK
178. die Aufteilung | division/sharing out | OK
179. der Therapeut | therapist | OK
180. die Rundfunkanstalt | broadcaster/broadcasting company/broadcasting corporation | OK
181. der Tiergarten | zoological garden | OK
182. die Beraterin | consultant | OK
183. die Geste | act of friendship/gesture | OK
184. der Philosoph | philosopher | OK
185. der Erfinder | inventor | OK
186. der Schulabgänger | school graduate | OK
187. das Getreide | cereal/grain | OK
188. der Herzinfarkt | heart attack/myocardial infarction | OK
189. der Konsens | consensus/consent | OK
190. die Genauigkeit | accuracy | OK
191. die Atmung | respiration | OK
192. die Zeitreise | time travel | OK
193. die Bundespolizei | federal police | OK
194. der Arbeitslose | unemployed person | OK
195. der Defekt | defect/deficiency/fault | OK
196. der Kader | cadre | OK
197. das Messgerät | measuring instrument | OK
198. der Blogger | blogger | OK
199. der Speck | back fat/bacon | OK
200. das Hörspiel | audio play/radio drama | OK
201. der Pfeil | arrow | OK
202. der Liebling | darling/sweetheart | OK
203. die Bombe | bomb/shell | OK
204. der Damm | bank/barrier/basin | IMPROVE: dam/embankment/dike — Damm primarily means a dam or embankment; “basin” is misleading here.
205. die Freundlichkeit | affability/attention/cheerfulness | IMPROVE: friendliness/kindness — “Attention” and “cheerfulness” distract from the primary meaning.
206. der Einwanderer | immigrant | OK
207. die Naturkatastrophe | natural disaster | OK
208. der Strandurlaub | beach holiday/beach vacation | OK
209. der Spielfilm | feature film | OK
210. der Tagesausflug | day trip | OK
211. die Evolution | evolution | OK
212. der Kämpfer | fighter | OK
213. der Kinofilm | cine film | IMPROVE: movie/feature film — “Cine film” is not the normal English noun for Kinofilm.
214. der Oldtimer | classic car/veteran car/vintage car | OK
215. die Meinungsfreiheit | freedom of opinion | OK
216. die Rechtswissenschaft | law/legal studies | OK
217. der Alzheimer | Alzheimer's disease | OK
218. der Kleiderschrank | closet/gorilla/wardrobe | IMPROVE: wardrobe/closet — “Gorilla” is an erroneous extra meaning for Kleiderschrank.
219. der Überrest | leftover/relic/remnant | OK
220. die Forscherin | resercher | IMPROVE: researcher — The existing translation is just a misspelling.
221. der Hai | shark | OK
222. der Kommissar | commissioner/superintendent | OK
223. die Elite | elite | OK
224. der Schwarm | bevy/flock/school | OK
225. die Fachwelt | professional community/experts in the field | OK
226. die Gegnerin | opponent (female) | OK
227. die Konfliktlösung | clash answer | WRONG: conflict resolution — Konfliktlösung means resolving a conflict, not a “clash answer”.
228. die Macke | defect/foible/quirk | OK
229. der Oberarm | upper arm | OK
230. der Optiker | optician | OK
231. der Tennisplatz | tennis court | OK
232. der Geringverdiener | servant | WRONG: low-income earner — Geringverdiener refers to someone with low earnings, not a servant.
233. die Eifersucht | jealousy | OK
234. das Landesgesetz | federal state law | OK
235. die Melancholie | megrim/melancholia/melancholy | OK
236. die Odyssee | odyssey | OK
237. der Rechtschreibfehler | misspelling/spelling mistake | OK
238. der Schicksalsschlag | blow/blow of fate/stroke | OK
239. der Schlafmangel | sleep deprivation | OK
240. die Absperrung | barrier/blockade/cutoff | OK
241. die Autofahrerin | car driver | OK
242. die Bundestagsfraktion | Bundestag faction | IMPROVE: Bundestag parliamentary group — Fraktion is a parliamentary group here, not a faction in the usual English sense.
243. der Doppelklick | double click | OK
244. die Forelle | trout | OK
245. die Grenzkontrolle | border control | OK
246. das Hauptwerk | main work | OK
247. die Höflichkeit | complaisance/politeness/suavity | OK
248. der Keks | biccie/biccy/bickie | IMPROVE: biscuit/cookie — The current entries are only informal regional slang.
249. der Lernstoff | learning material/course material | OK
250. die Reinheit | purity | OK
251. der Romantiker | romantic/romanticist | OK
252. das Sportereignis | sporting event | OK
253. der Spott | mockery | OK
254. das Todesurteil | death sentence | OK
255. der Waise | orphan/orphan rhyme | OK
256. die Weste | vest/waistcoat | OK
257. die Mangelernährung | malnutrition | OK
258. das Marktvolumen | market volume | OK
259. der Marktwert | market value | OK
260. die Meisterprüfung | champion audit | WRONG: master craftsman examination — Meisterprüfung is a trade/master craftsman exam, not a champion audit.
261. der Gewerbebetrieb | business/business enterprise/commercial enterprise | OK
262. der Mischwald | mixed forest/mixed woodland | OK
263. der Mitfahrer | passenger/co-driver | OK
264. der Mittelfeldspieler | centre/midfielder | OK
265. das Kolloquium | colloquium/examination/symposium | OK
266. der Monteur | assembler | OK
267. das Musiktheater | music theatre | OK
268. die Nachahmung | imitation/mimicry | OK
269. die Naturkosmetik | nature cosmetic | IMPROVE: natural cosmetics — Naturkosmetik is the product category “natural cosmetics”.
270. das Lenkrad | steering wheel | OK
271. der Neujahrsempfang | New Year reception | OK
272. das Osterfest | Easter | OK
273. das Benefizkonzert | concert | IMPROVE: benefit concert/charity concert — Benefiz adds the charity or benefit purpose, which “concert” omits.
274. der Parlamentarier | member of parliament/parliamentarian | OK
275. die Parzelle | par basic item | WRONG: plot/parcel of land — Parzelle is a plot or parcel, not “par basic item”.
276. die Passform | fit/shape | OK
277. die Gleichung | equation | OK
278. das Pedelec | pedelec/electric bicycle | OK
279. der Pegel | water level/water level indicator | OK
280. das Plädoyer | closing argument/plea | OK
281. die Preisgestaltung | price arrangement | IMPROVE: pricing — Preisgestaltung means pricing or price setting, not “price arrangement”.
282. der Prostatakrebs | prostate cancer | OK
283. das Proton | proton | OK
284. der Puffer | buffer | OK
285. die Raumordnung | regional development/spatial planning | OK
286. das Inhaltsverzeichnis | list of contents/table of contents | OK
287. die Rechtfertigung | justification | OK
288. die Referendarin | student teacher/trainee teacher | OK
289. der Regenwurm | earthworm | OK
290. der Reißverschluss | zip/zip fastener/zipper | OK
291. die Resilienz | resilience | OK
292. der Rettungshubschrauber | emergency rescue helicopter | OK
293. das Rudern | rowing | OK
294. die Legislaturperiode | electoral period/electoral term/legislative period | OK
295. die Sachlichkeit | objectivity | OK
296. die Fernsehproduktion | production | IMPROVE: television production — Fernsehproduktion specifically refers to TV production.
297. die Sanitäranlage | sanitary facilities | OK
298. der Schadenersatz | compensation/damages/indemnity | OK
299. die Scheide | borderline/scabbard/sheath | IMPROVE: sheath/scabbard/vagina — “Borderline” is not a useful primary translation here.
300. das Schlachten | slaughtering | OK
301. der Mitbewerber | competitor | OK
302. das Schmankerl | cherry on the cake | IMPROVE: delicacy/treat — Schmankerl means a treat or delicacy, not the idiom “cherry on the cake”.
303. der Schnappschuss | shot/snapshot | OK
304. die Schnur | cable/cord/line | OK
305. der Schulbesuch | school attendance | OK
306. die Packung | pack/package/packet | OK
307. die Schullaufbahn | school career | OK
308. der Schulsport | school sports | OK
309. das Schweinefleisch | pork | OK
310. der Schwellenwert | threshold | OK
311. der Selbstzweck | end in itself | OK
312. die Senke | depression/sink | OK
313. der Gemeinschaftsraum | common room/shared room | OK
314. das Serum | serum | OK
315. der Gesamteindruck | overall impression | OK
316. der Sexismus | sexism | OK
317. die Sichtung | sighting | OK
318. die Silbermedaille | silver medal | OK
319. das Intervall | interval | OK
320. das Softwaresystem | software structure | IMPROVE: software system — Softwaresystem is literal “software system”, not “software structure”.
321. das Sonderkündigungsrecht | special right of termination | OK
322. das Sorgerecht | custody | OK
323. der Mitgliedsstaat | member state | OK
324. der Spielbetrieb | match operations/gameplay | OK
325. der Spielort | venue/playing location | OK
326. das Würstel | sausage | OK
327. das Kursplakat | course poster | OK
328. die Reiseführerin | travel guide (f) | OK
329. der Aussagesatz | declarative sentence | OK
330. die W-Frage | w-question | OK
331. die E-Mail-Adresse | email address | OK
332. der Unterstrich | underscore | OK
333. das Redemittel | useful phrases | OK
334. das W-Wort | w-word | OK
335. die Spaghetti | spaghetti | OK
336. der Infinitiv | infinitive | OK
337. die Satzmelodie | intonation | OK
338. die Ja- | yes-/no-question | IMPROVE: yes/no question — The current slash-hyphen spelling is awkward English.
339. der Kursraum | course room | OK
340. die Taxifahrerin | taxi driver (f) | OK
341. der Lernwortschatz | learning vocabulary | OK
342. das Übungsbuch | exercise book | OK
343. die Pluralform | plural form | OK
344. die Pluralendung | plural ending | OK
345. die Lernkarte | learning cards | IMPROVE: flashcard/study card — Lernkarte is a single learning or flash card, not “learning cards”.
346. die Elektrikerin | electrician (f) | OK
347. die Erzieherin | kindergarten teacher (f) | OK
348. das Artikelbild | article picture | OK
349. der Sportclub | sports club | OK
350. die Stadttour | city tour | OK
351. die Besucherin | visitor (f) | OK
352. die Kunsthalle | art gallery | OK
353. die Bildgeschichte | comic strip | OK
354. der Negationsartikel | negative article | OK
355. der Filmfan | film fan | OK
356. die Regisseurin | director (f) | OK
357. das Köpfchen | brains/head | OK
358. das Requiem | requiem | OK
359. der Solist | soloist (m) | OK
360. das Theater-Festival | theatre festival | OK
361. der Nominativ | nominative | OK
362. der Emmentaler | etwas (Sonst noch etwas?) here: anything (Anything else?) | WRONG: Emmental cheese — Emmentaler is a cheese, not the phrase about “etwas”.
363. der Kassenzettel | receipt | OK
364. die Uni | university | OK
365. der Englisch-Test | English test | OK
366. der Geigenunterricht | violin lessons | OK
367. der Mathe-Test | math test | OK
368. die Musikschule | music school, conservatory | OK
369. der Trompetenunterricht | trumpet lessons | OK
370. der Wiederaufbau | reconstruction | OK
371. der Possessivartikel | possessive article | OK
372. das Wortende | ending of the word | OK
373. das Familienfoto | family photograph | OK
374. das Saxofon | saxophone | OK
375. die Ausstrahlung | broadcast/charisma | OK
376. das Modalverb | modal verb | OK
377. die Rollenkarte | role card | OK
378. das Satzende | ending of the sentence | OK
379. die Satzklammer | sentence bracket | OK
380. das Fitness-Studio | gym | OK
381. die Freizeitaktivität | extracurricular activity | IMPROVE: leisure activity — Freizeitaktivität is broader than a school “extracurricular activity”.
382. das Ratebild | picture puzzle | OK
383. die Ordinalzahl | ordinal number | OK
384. der Überraschungstag | surprise day | OK
385. die Einladungs-Mail | invitation mail | OK
386. die Apfelsaftschorle | apple juice spritzer | OK
387. die Tomatensuppe | tomato soup | OK
388. das Beisl | pub | OK
389. die Beiz | pub | OK
390. die Selbstbedienung | self-service | OK
391. die Strandbar | beach bar | OK
392. der Konzertbeginn | beginning of the concert | OK
393. die Kultur-Nacht | cultural night | OK
394. die Museumsnacht | museum night | OK
395. die Niederlassung | agency/branch/establishment | OK
396. das Open-Air-Kino | open-air concert | WRONG: open-air cinema/outdoor movie theater — Open-Air-Kino is a cinema, not a concert.
397. der Ticketkauf | ticket purchase | OK
398. die Computerarbeit | endlich finally | WRONG: computer work — Computerarbeit has nothing to do with “endlich/finally”.
399. der Kundenbesuch | call on customers | OK
400. der Silbenanfang | beginning of the syllable | OK
401. der Wortanfang | beginning of the word | OK
402. das Wortinnere | inside of the word | OK
403. das WLAN | Wi-Fi | OK
404. das Jahrestreffen | yearly meeting | OK
405. das Sprachinstitut | language department | IMPROVE: language institute — Sprachinstitut is an institute, not a department.
406. der Briefstandard | letter standard | OK
407. die Anredeformel | salutation | OK
408. der Small | small talk | OK
409. der Zusammenschluss | collective/fusion/merger | OK
410. die Chips | crisps | OK
411. die Fitness-App | fitness app | OK
412. die Bauchschmerzen | stomach pain | OK
413. der Hustensaft | cough syrup | OK
414. die Halsschmerzen | sore throat | OK
415. die Rückenschmerzen | back pain | OK
416. die Hühnersuppe | chicken soup | OK
417. die Zahnschmerzen | toothache | OK
418. die Schlaftablette | sleeping pill | OK
419. das Suppenhuhn | chicken for soup | OK
420. der Schimmelpilz | mould/mould fungus | OK
421. die Laborantin | lab assistant (f) | OK
422. die Notärztin | emergency doctor (f) | OK
423. das Kompositum | compound | OK
424. der Verletzte | casualty | IMPROVE: injured person — Der Verletzte primarily means an injured person; “casualty” can imply death.
425. das Lieblingszimmer | favourite room | OK
426. die Wohnungsanzeige | advertisement for a flat | OK
427. die Einweihungsfeier | house warming | IMPROVE: housewarming party/inauguration ceremony — “House warming” should be the compound “housewarming” in this use.
428. die Wohn-Situation | living situation | OK
429. die Wechselpräposition | two-case preposition | OK
430. der Segellehrer | sailing instructor (m) | OK
431. die Segellehrerin | sailing instructor (f) | OK
432. die Kursstatistik | course statistic | OK
433. das Unicafé | uni café | OK
434. der Hotelchef | hotel boss (m) | IMPROVE: hotel manager/hotel owner — “Hotel boss” is overly literal and not idiomatic.
435. der Spracherwerb | language acquisition | OK
436. die Hotelchefin | hotel boss (f) | IMPROVE: hotel manager/hotel owner — “Hotel boss” is overly literal and not idiomatic.
437. das Job-Portal | job portal | OK
438. die Ortsveränderung | change of location | OK
439. die Nachrichten | news (He reads the news on the internet.) | OK
440. die Computerfirma | computer company | OK
441. das Kulturfestival | culture festival | OK
442. der Steuervorteil | tax advantage/tax benefit | OK
443. die Statistin | extra (f) | OK
444. der Saison-Job | seasonal job | OK
445. das Kleidergeschäft | clothes shop | OK
446. der Secondhand-Laden | secondhand shop | OK
447. der Pulli | pullover | OK
448. die Abendkleidung | evening wear | OK
449. die Bademode | swimwear | OK
450. das Tonstudio | recording studio | OK
451. die Trompete | trumpet | OK
452. das Fotozubehör | photographic accessories | OK
453. die Haushaltswaren | homewares | OK
454. die Schreibwaren | stationary | WRONG: stationery — Schreibwaren means writing supplies; “stationary” means not moving.
455. die Spielwaren | toys | OK
456. der USB-Stick | USB stick | OK
457. der Wortteil | part of the word | OK
458. der Designfan | design fan | OK
459. der Infotext | informational text | OK
460. der Modefan | fashionista | IMPROVE: fashion fan — Modefan means a fan of fashion, not necessarily a fashionista.
461. die Modeschule | fashion school | OK
462. die Musikproduktion | music production | OK
463. die Verwechslung | confusion/mixing up | OK
464. die Trendstadt | trendy city | OK
465. der Flagship-Store | flagship store | OK
466. die Individualistin | individualist (f) | OK
467. der Schuhfan | shoe fan | OK
468. die Krawatte | necktie/tie | OK
469. der Schuhladen | shoeshop | IMPROVE: shoe shop/shoe store — The current one-word “shoeshop” is not standard English.
470. die Öffnungszeiten | opening hours | OK
471. der Demonstrativartikel | demonstrative article | OK
472. der Interrogativartikel | interrogative article | OK
473. der Kleiderkauf | clothes shopping | OK
474. der Ski-Urlaub | skiing holiday | OK
475. der Snowboard-Urlaub | snowboarding holiday | OK
476. der Stadturlaub | city trip | OK
477. die Reisetasche | holdall | OK
478. die Städtereise | city trip | OK
479. der Handy-Akku | phone battery | OK
480. der Schaffner | conductor (m) | OK
481. die Schaffnerin | conductor (f) | OK
482. das Fragewort | interrogative | IMPROVE: question word/interrogative word — Fragewort is the noun “question word”; “interrogative” alone is vague.
483. das Deutschbuch | German book | OK
484. die Wortliste | word list | OK
485. die Urlaubsnachricht | holiday message | OK
486. das Mistwetter | bad weather | OK
487. der Bankkaufmann | banker | OK
488. die Augenoptikerin | optician | OK
489. der Hauptsatz | main theorem | WRONG: main clause — Hauptsatz is a grammar term, not a theorem.
490. die Lernerfahrung | learning experience | OK
491. das Au-pair | au pair | OK
492. die Hotelkauffrau | hotel manager | WRONG: hotel clerk/hotel management assistant — Hotelkauffrau is a vocational role, not simply a hotel manager.
493. der Hotelkaufmann | hotel manager | WRONG: hotel clerk/hotel management assistant — Hotelkaufmann is a vocational role, not simply a hotel manager.
494. die Englischlehrerin | English teacher | OK
495. die Schulplattform | school platform | OK
496. der Vokabeltest | vocabulary test | OK
497. die AG | AG | IMPROVE: working group/school club — In the school context AG is an Arbeitsgemeinschaft, not an English translation “AG”.
498. der Bahnübergang | grade crossing/level crossing | OK
499. die Schulkleidung | school uniform | OK
500. der Hauptschulabschluss | secondary school leaving certificate | IMPROVE: lower secondary school leaving certificate — Hauptschulabschluss is the specific Hauptschule certificate.
501. der Realschulabschluss | secondary school leaving certificate | IMPROVE: intermediate secondary school leaving certificate — Realschulabschluss is distinct from the Hauptschule certificate.
502. die Arbeitswelt | world of work | OK
503. der Arzthelfer | medical assistant | OK
504. die Unterrichtszeit | teaching time | OK
505. die VR-Brille | VR glasses | OK
506. der Komparativ | comparative | OK
507. der E-Book-Reader | e-book reader | OK
508. das Dings | thing | OK
509. die Grammatikaufgabe | grammar task | OK
510. das Käsebrot | cheese bread | IMPROVE: cheese sandwich/open cheese sandwich — Käsebrot is bread with cheese, not cheese-flavored bread.
511. die Web-Adresse | web address | OK
512. der Blogbeitrag | blog post | OK
513. der Fantasy-Film | fantasy film | OK
514. die Entertainerin | entertainer | OK
515. die Filmbeschreibung | film description | OK
516. die Kurzbeschreibung | short description | OK
517. die Dankeskarte | thank you card | OK
518. die Glückwunschkarte | greeting card | OK
519. das Reflexivpronomen | reflexive pronoun | OK
520. der Musikfan | music fan | OK
521. die Segelregatta | sailing regatta | OK
522. die Tango-Musik | tango music | OK
523. das Beste | best | OK
524. der Probetag | trial day | OK
525. der Nächste | Next | IMPROVE: next person/next one — Der Nächste is a substantivized noun, not the English title-case word “Next”.
526. die Clubdisco | club disco | OK
527. die Bahnhofshalle | station concourse | OK
528. der Fahrkartenschalter | ticket counter | OK
529. das Abend-Programm | evening programme | OK
530. das Stadtprogramm | city programme | OK
531. die Trattoria | trattoria | OK
532. das Artikelwort | article word | OK
533. der Kursort | course location | OK
534. die Arztkleidung | doctor's clothing | OK
535. das Englisch-Studium | English degree programme | OK
536. der Fernfahrer | lorry driver | IMPROVE: long-distance truck driver — Fernfahrer specifically means a long-haul driver.
537. die Fahndung | search | OK
538. die Fernfahrerin | lorry driver | IMPROVE: long-distance truck driver — Fernfahrerin specifically means a long-haul driver.
539. die Herzchirurgin | heart surgeon | OK
540. das Herzzentrum | heart centre | OK
541. das Fachwerkhaus | half-timbered house | OK
542. der Oberarzt | senior physician | OK
543. der Tiertrainer | animal trainer | OK
544. der Kurspartner | course partner | OK
545. das Kinderabteil | children's compartment | OK
546. der Fragesatz | interrogative sentence | OK
547. die Redewiedergabe | speech reproduction | IMPROVE: reported speech/rendering of speech — Redewiedergabe is the reporting or rendering of speech.
548. das Bordbistro | on-board bistro | OK
549. der Bordcomputer | on-board computer | OK
550. der E-Scooter | e-scooter | OK
551. die Platzreservierung | seat reservation | OK
552. der Wohnungsschlüssel | flat key | OK
553. das Gästebuch | guestbook | OK
554. die Wortgrenze | word limit | WRONG: word boundary — Wortgrenze is a boundary between words, not a word limit.
555. die Stadtbewohnerin | city dweller | OK
556. das Verkehrsproblem | traffic problem | OK
557. die Magenschmerzen | stomach ache | OK
558. das Lernproblem | learning problem | OK
559. der Lernhelfer | learning assistant | OK
560. die Lernhelferin | learning assistant | OK
561. der Prüfende | examiner | OK
562. der Gebärdendolmetscher | sign language interpreter | OK
563. das Grundstudium | basis studies | IMPROVE: foundation studies/basic university studies — “Basis studies” is not idiomatic English.
564. die Gebärdendolmetscherin | sign language interpreter | OK
565. der Ausschuss | committee | OK
566. das Gebärdentelefon | sign language telephone | OK
567. der Lernende | learner | OK
568. das Sprachenlernen | language learning | OK
569. der PC | PC | OK
570. das Repair-Caf | Repair Caf | IMPROVE: Repair Café — The name normally keeps the accented “Café”.
571. der Fußballschuh | football boot | OK
572. der Skistock | ski pole | OK
573. die Taucherbrille | diving goggles | OK
574. der Fanartikel | fan article | WRONG: fan merchandise — Fanartikel means merchandise for fans, not a fan article.
575. die Fanseite | fan page | OK
576. der Klettergurt | climbing harness | OK
577. die Kletterin | climber | OK
578. die Eishöhle | ice cave | OK
579. die Wortfamilie | word family | OK
580. das Kitesurfen | kitesurfing | OK
581. die Juristin | jurist | OK
582. die Ferienwohnung | holiday flat | OK
583. die Wagenburg | wagon castle | WRONG: wagon fort/wagon laager — Wagenburg is a defensive circle of wagons, not a castle.
584. der Lampion | lantern | OK
585. das Positionsverb | position verb | OK
586. das Richtungsverb | directional verb | OK
587. die Nebenkosten | ancillary costs | OK
588. der Satzakzent | sentence accent | OK
589. das Bärchen | little bear | OK
590. das Hasilein | hare | IMPROVE: little bunny — Hasilein is a diminutive pet form, not simply “hare”.
591. der Kosename | pet name | OK
592. das Mäuschen | little mouse | OK
593. das Mausi | mouse | OK
594. der Tiername | animal name | OK
595. die Lebenssituation | life situation | OK
596. die Tiergeschichte | animal story | OK
597. der Textanfang | beginning of the text | OK
598. die Satzhälfte | half of the sentence | OK
599. der Gegenvorschlag | counter-proposal | OK
600. der Arme | poor | IMPROVE: poor person — Der Arme is a substantivized noun referring to a person.
601. die Kajaktour | kayak tour | OK
602. das Märchenschloss | fairytale castle | OK
603. das Kunststück | feat/trick | OK
604. der Synchronsprecher | dubbing artist | OK
605. die Synchronsprecherin | dubbing artist | OK
606. die Wanderin | hiker | OK
607. der Festivalbesuch | festival visit | OK
608. die AGB | GTC | IMPROVE: terms and conditions — AGB is understandable as T&Cs; “GTC” is not common learner English.
609. die Datenschutzbestimmung | privacy policy | OK
610. der Firmenkunde | corporate client | OK
